word,count,,,
abiola, 10
able, 17
about, 107
abt, 21
acc, 4
accept, 7
account, 17
across, 8
actually, 23
add, 5
addicted, 4
address, 10
advance, 6
affection, 4
aft, 16
after, 59
afternoon, 20
aftr, 5
again, 42
against, 8
ago, 9
ah, 20
ahead, 7
ahmad, 4
aight, 24
aint, 7
air, 7
aiyah, 5
al, 6
alex, 5
all, 176
almost, 11
alone, 7
already, 65
alright, 18
alrite, 6
also, 49
always, 45
am, 166
amp, 63
an, 67
angry, 12
another, 26
ans, 6
answer, 11
any, 76
anybody, 4
anymore, 8
anyone, 13
anything, 45
anyway, 13
anyways, 4
apartment, 8
appointment, 4
appreciate, 4
april, 5
ar, 6
ard, 14
are, 292
area, 4
arent, 4
argument, 4
around, 44
arrested, 5
as, 114
ask, 57
askd, 11
asked, 17
askin, 4
asking, 8
asleep, 4
ass, 11
at, 275
ate, 4
available, 9
ave, 4
away, 13
awesome, 15
b, 43
babe, 49
baby, 18
back, 88
bad, 18
bag, 4
bak, 6
balance, 4
bank, 9
barely, 4
bath, 10
bathe, 8
battery, 5
bb, 5
bcoz, 10
bcums, 4
bday, 12
be, 240
beautiful, 15
because, 25
become, 5
bed, 23
bedroom, 5
been, 64
before, 37
being, 25
believe, 10
belly, 5
best, 30
bet, 4
better, 28
between, 16
bf, 4
big, 24
bill, 6
birthday, 25
bit, 29
black, 5
blank, 4
bloodsend, 4
blue, 10
body, 5
bold, 5
boo, 5
book, 12
booked, 7
bored, 12
boring, 4
boss, 8
both, 12
bother, 5
bout, 12
bowl, 4
boy, 18
boytoy, 11
break, 11
brilliant, 4
bring, 15
brings, 4
brother, 9
bslvyl, 9
bt, 13
bucks, 4
bugis, 6
bus, 20
busy, 14
but, 306
buy, 42
buying, 4
buzz, 7
by, 91
bye, 4
c, 45
cabin, 5
cafe, 4
caken, 4
cal, 5
call, 163
called, 22
callers, 5
callertune, 10
calling, 11
calls, 7
came, 21
campus, 4
can, 259
cannot, 4
cant, 77
car, 28
card, 8
care, 39
carefully, 4
carlos, 12
case, 13
cash, 8
catch, 8
cause, 14
cell, 4
chance, 8
change, 18
changed, 5
character, 5
charge, 6
chat, 9
cheap, 4
check, 28
checked, 5
checking, 6
cheers, 4
chennai, 11
chikku, 8
childish, 5
children, 4
chinese, 5
choose, 6
christmas, 9
cine, 7
cinema, 4
class, 36
clean, 5
clock, 4
close, 11
coffee, 5
coins, 4
cold, 5
colleagues, 6
collect, 5
college, 11
come, 161
comes, 15
comin, 9
coming, 31
company, 10
completely, 5
computer, 4
confidence, 6
confirm, 8
congrats, 4
contact, 8
convey, 6
cook, 4
cooking, 4
cool, 25
copy, 7
correct, 6
cos, 47
cost, 10
could, 38
couldnt, 5
couple, 9
course, 7
cover, 6
coz, 15
crave, 6
crazy, 8
credit, 4
cry, 4
cud, 4
cum, 6
customer, 7
cut, 10
cute, 7
cuz, 6
d, 65
da, 90
dad, 16
daddy, 6
dai, 5
damn, 6
darlin, 11
darren, 7
dat, 25
date, 6
day, 139
days, 18
de, 17
dead, 6
deal, 6
dear, 71
decide, 8
decided, 10
deep, 7
definitely, 5
den, 22
depends, 6
details, 10
dey, 4
dictionary, 4
did, 83
didnt, 52
didt, 5
die, 8
died, 5
different, 5
difficult, 8
din, 6
dinner, 19
dis, 19
disturb, 7
dnt, 12
do, 258
doctor, 4
does, 25
doesnt, 23
doin, 7
doing, 57
dollars, 4
don, 9
done, 34
dont, 203
door, 6
double, 4
down, 40
download, 9
draw, 5
dream, 4
dreams, 11
drink, 9
drive, 10
driving, 13
drop, 10
drug, 5
drugs, 8
dry, 4
dude, 19
dun, 37
dunno, 26
during, 6
e, 57
earlier, 11
early, 28
easier, 4
easy, 11
eat, 27
eatin, 5
eating, 6
eh, 8
either, 9
else, 14
em, 4
email, 12
embarassed, 4
empty, 10
end, 21
ended, 5
ends, 6
energy, 5
enjoy, 19
enough, 18
entered, 5
envelope, 4
especially, 4
eve, 8
even, 39
evening, 20
ever, 24
every, 31
everyone, 13
everything, 19
evng, 4
ex, 5
exactly, 4
exam, 7
excellent, 5
excuse, 5
expect, 4
experience, 6
explain, 4
extra, 5
eyes, 6
face, 10
facebook, 6
fact, 7
fall, 4
family, 14
far, 12
fast, 11
fat, 4
father, 11
fault, 5
fb, 6
february, 4
feel, 51
feeling, 13
feels, 10
felt, 12
fetch, 5
few, 33
figure, 8
files, 4
film, 5
finally, 9
find, 35
fine, 30
fingers, 5
finish, 28
finished, 16
first, 41
fixed, 5
flat, 4
fone, 5
food, 17
for, 365
forever, 6
forget, 12
forgot, 20
forward, 5
forwarded, 4
found, 14
fr, 10
free, 39
fren, 4
frens, 6
fri, 11
friday, 11
friend, 22
friends, 37
friendship, 13
frm, 7
frnd, 7
frnds, 11
frndship, 4
from, 106
fuck, 20
fucking, 10
full, 15
fullonsmscom, 5
fun, 12
funny, 7
g, 10
gal, 5
gals, 4
game, 8
gas, 8
gave, 6
gd, 9
ge, 4
get, 212
gets, 8
gettin, 7
getting, 38
gift, 6
girl, 19
girls, 9
give, 63
gives, 5
giving, 4
glad, 5
go, 166
god, 23
godi, 4
goes, 21
goin, 15
